,name,place_id,types,tel,location,Lat,Lng,vicinity,Village,District,City,rating,user_ratings_total,reviews_num,senti_score
30,Puzzle gym,ChIJZVUxCcyvQjQRTTrcO52M5kg,"('gym', 'health')",,"[25.11822029999999, 121.5325744]",25.11822029999999,121.5325744,士林區天母東路45-1號,天山里,士林區,臺北市,4.8,35.0,,
31,動動MoveMove,ChIJH1XfPISuQjQRLkn36GOnKFY,"('gym', 'health')",,"[25.1137275, 121.52974520000001]",25.1137275,121.52974520000001,士林區士東路91巷36號,天祿里,士林區,臺北市,4.8,53.0,,
32,動動MoveMove－天母館,ChIJD8L_l0GvQjQR72403uE1W0k,"('gym', 'health')",,"[25.1137275, 121.52974520000001]",25.1137275,121.52974520000001,士林區士東路91巷49號1樓,天祿里,士林區,臺北市,5.0,6.0,,
33,臺灣威凌克股份有限公司,ChIJWRFbboeuQjQR9z17ZtT84Y0,"('gym', 'health')",,"[25.118609, 121.52929099999999]",25.118609,121.52929099999999,士林區天母西路3號,天玉里,士林區,臺北市,0.0,0.0,,
34,World Gym世界健身俱樂部 臺北蘆洲店Express,ChIJn7XkCs6pQjQRNg-DmIBNvqc,"('gym', 'health')",+886 2 2282 1222 ,"[25.08515449999999, 121.4775874]",25.08515449999999,121.4775874,蘆洲區民族路31號之5號,鷺江里,蘆洲區,新北市,4.8,2485.0,2487.0,0.544
35,Energy 健身俱樂部-蘆洲館,ChIJUfpAAyCpQjQRESKrTj0JZ8Y,"('gym', 'health')",+886 920 352 246 ,"[25.0843667, 121.4695172]",25.0843667,121.4695172,蘆洲區中正路123號B1,光華里,蘆洲區,新北市,4.9,82.0,82.0,0.541
36,超能量運動健身活力館,ChIJOa4iwsmoQjQRb2TWSzGIOHw,"('gym', 'health')",,"[25.08443249999999, 121.4694733]",25.08443249999999,121.4694733,"B1, No. 125號中正路蘆洲區",光華里,蘆洲區,新北市,5.0,1.0,1.0,
37,B Gym健身俱樂部蘆洲旗艦店,ChIJY30HmF2pQjQRADSnwZikUKw,"('gym', 'health')",+886 2 8285 5265 ,"[25.08454919999999, 121.47476670000002]",25.08454919999999,121.47476670000002,蘆洲區三民路86號B1,鷺江里,蘆洲區,新北市,4.9,406.0,406.0,0.552
38,X-LINE 89 運動健康俱樂部 蘆洲店,ChIJcUAFIgapQjQRAmOGv_pe5OQ,"('gym', 'health')",+886 2 2285 0587 ,"[25.082914300000002, 121.47207]",25.082914300000002,121.47207,蘆洲區成功路134號3F,仁復里,蘆洲區,新北市,4.3,31.0,31.0,0.512
39,躍動健身,ChIJ-dOWl22pQjQRysSvf7_ir_Q,"('gym', 'health')",+886 2 8285 0002 ,"[25.0894666, 121.4617572]",25.0894666,121.4617572,蘆洲區長樂路225號1樓,正義里,蘆洲區,新北市,5.0,15.0,15.0,0.8320000000000001
40,蘆洲Just FIT運動空間,ChIJY7DCereoQjQR_D3uQrtxBOg,"('gym', 'health')",+886 2 8285 1788 ,"[25.0821382, 121.46496359999999]",25.0821382,121.46496359999999,蘆洲區光華路178號2樓,光明里,蘆洲區,新北市,4.6,28.0,28.0,0.591
41,Forge打鐵健身【五股店】,ChIJ67MTSISpQjQRz5mICzOKoL8,"('gym', 'health')",+886 2 8292 5227 ,"[25.0908428, 121.44682959999999]",25.0908428,121.44682959999999,五股區新五路三段208號,成功里,五股區,新北市,5.0,9.0,9.0,0.8
42,狂牛體能訓練中心 - RBTC,ChIJw5YVIR2mQjQRnSusI_cJsBo,"('gym', 'health')",+886 2 2293 8485 ,"[25.0894409, 121.4454481]",25.0894409,121.4454481,五股區新五路三段19號,成泰里,五股區,新北市,4.6,39.0,39.0,0.6509999999999999
43,比活力Beverly運動俱樂部 信義館,ChIJHYGGH86oQjQRokEeK3ZChIM,"('gym', 'health')",+886 2 7730 2121#1 ,"[25.0821039, 121.479749]",25.0821039,121.479749,蘆洲區信義路165號,恆德里,蘆洲區,新北市,4.1,283.0,283.0,0.48700000000000004
44,成吉思汗健身俱樂部 進化綜合格鬥中心（蘆洲館）,ChIJtXfqgbqoQjQR9gmGxcnesjc,"('gym', 'health')",+886 2 8286 6600 ,"[25.0828528, 121.45959579999999]",25.0828528,121.45959579999999,蘆洲區長安街156號B1,永德里,蘆洲區,新北市,4.4,326.0,326.0,0.392
45,Gravity Gym 重力體能工作室-蘆洲店,ChIJx5rG8cmoQjQRCJffzmZQ43Q,"('gym', 'health')",+886 986 506 136 ,"[25.0852255, 121.4694201]",25.0852255,121.4694201,蘆洲區中正路134巷1號,保和里,蘆洲區,新北市,5.0,21.0,21.0,0.6779999999999999
46,Curves可爾姿蘆洲長樂店,ChIJ4wH1krOoQjQRLSfDj_NuMPM,"('gym', 'health')",+886 2 8282 8621 ,"[25.089077800000002, 121.4619443]",25.089077800000002,121.4619443,蘆洲區長樂路106-1號3樓,正義里,蘆洲區,新北市,4.9,84.0,84.0,0.6659999999999999
47,大無限健身INFINITEFIT-蘆洲店,ChIJvYjW84apQjQRL0GXE_ZiV2k,"('gym', 'health')",+886 2 2289 3388 ,"[25.085805899999997, 121.46060559999998]",25.085805899999997,121.46060559999998,蘆洲區長榮路250號,正義里,蘆洲區,新北市,5.0,538.0,538.0,0.662
48,比活力Beverly運動俱樂部 城市館,ChIJd_mcLNCoQjQRoca84q8aFvo,"('gym', 'health')",+886 2 7730 2121#3 ,"[25.0805082, 121.480369]",25.0805082,121.480369,蘆洲區中山一路8號6樓,恆德里,蘆洲區,新北市,4.1,125.0,125.0,0.397
49,泰坦運動空間,ChIJmdpUQp6pQjQR6ovIMVy032Q,"('gym', 'health')",+886 2 8282 2218 ,"[25.092617, 121.4609636]",25.092617,121.4609636,蘆洲區長榮路778號,正義里,蘆洲區,新北市,5.0,58.0,58.0,0.74
50,三蘆拍打同樂會,ChIJD5mKIMmoQjQR9ZtFdYp6fyw,"('gym', 'health')",,"[25.0824361, 121.4729351]",25.0824361,121.4729351,蘆洲區中央路9巷,溪底里,萬裏區,新北市,0.0,0.0,,
51,簡單健身,ChIJMQP2uGSpQjQRlm-d_M4vgKM,"('gym', 'health')",,"[25.0803313, 121.48288970000002]",25.0803313,121.48288970000002,三重區三和路四段231巷73號1樓,慈愛里,三重區,新北市,5.0,20.0,,
52,Forge打鐵健身（三重店）,ChIJh-JFuOKpQjQR9t-9ImnyAN4,"('gym', 'health')",+886 2 2980 5178 ,"[25.0822055, 121.4889365]",25.0822055,121.4889365,三重區仁愛街479號2F,慈化里,三重區,新北市,4.4,26.0,26.0,0.469
53,極限健身-蘆洲店,ChIJ1WAqRyuvQjQRLGHufXjEcuo,"('gym', 'health')",+886 2 2857 9808 ,"[25.087958899999997, 121.48649909999999]",25.087958899999997,121.48649909999999,三重區五華街282號4F,碧華里,三重區,新北市,4.3,645.0,645.0,0.48100000000000004
54,健身工廠 Fitness Factory 三重廠,ChIJb2Er8SapQjQRrFvul5HK_EI,"('gym', 'health')",+886 2 2971 5500 ,"[25.0713006, 121.4946193]",25.0713006,121.4946193,"2F, No. 6號龍門路三重區",尚德里,三重區,新北市,4.2,476.0,476.0,0.445
55,Curves 可爾姿 三和龍門店,ChIJQajb-CapQjQRqjq2w9Z42Ug,"('gym', 'health')",+886 2 7715 3630 ,"[25.072026100000002, 121.4947071]",25.072026100000002,121.4947071,三重區三和路三段81號3樓,尚德里,三重區,新北市,4.9,111.0,111.0,0.7290000000000001
56,City Boxing 拳擊適能館,ChIJeZiR7mCpQjQRWXIGaO4sfwU,"('gym', 'health')",+886 931 430 607 ,"[25.0774577, 121.4856118]",25.0774577,121.4856118,三重區三和路四段111之33號2樓,福隆里,三重區,新北市,4.9,20.0,20.0,0.574
57,Gravity Gym 重力體能工作室-三重團班教室,ChIJwwpapF6pQjQRvNsiTzjbGGE,"('gym', 'health')",,"[25.070484399999998, 121.4932755]",25.070484399999998,121.4932755,三重區正義北路338巷43號1樓,信安里,三重區,新北市,5.0,35.0,,
58,X-Fbody 007 三重集英店,ChIJ32atMtSpQjQRnvSe84I69hM,"('gym', 'health')",+886 2 2857 5015 ,"[25.087188, 121.4855412]",25.087188,121.4855412,三重區集英路83號,碧華里,三重區,新北市,4.3,31.0,31.0,0.627
59,Refine Fitness 純淬健身 士林店,ChIJ35xxCJWvQjQREj2BdfwLwFQ,"('gym', 'health')",+886 2 2834 8058 ,"[25.0960947, 121.52857809999999]",25.0960947,121.52857809999999,士林區中正路122號之一B1,福志里,士林區,臺北市,4.9,164.0,164.0,0.627
60,GroupFitness 好團健身空間-圓山館,ChIJZ53ttFepQjQRSfjptbVMRSI,"('gym', 'health')",+886 2 2563 7916 ,"[25.0730793, 121.5186449]",25.0730793,121.5186449,大同區承德路三段244號,保安里,大同區,臺北市,4.9,10.0,,
61,Surmount運動空間 - 士林店,ChIJARu4HqOuQjQRJpFTbwmMPa8,"('gym', 'health')",,"[25.095831, 121.527165]",25.095831,121.527165,士林區中正路188號2樓,舊佳里,士林區,臺北市,4.5,26.0,,
62,Boss健身工作室,ChIJdefb4KKuQjQRWFluDikMuOE,"('gym', 'health')",+886 2 2834 4000 ,"[25.097959399999997, 121.53218799999999]",25.097959399999997,121.53218799999999,士林區雨農路19號,福志里,士林區,臺北市,4.8,158.0,158.0,0.578
63,Power-Fit 健身工作室,ChIJhYdB2LquQjQRIYAnKkDMOcI,"('gym', 'health')",+886 2 2883 6680 ,"[25.0902201, 121.52511100000001]",25.0902201,121.52511100000001,士林區大北路72號,仁勇里,士林區,臺北市,4.9,24.0,24.0,0.628
64,Curves 劍潭店 可爾姿女性專用30分鐘運動,ChIJNyCHjLCuQjQRP5iHhmzpgFg,"('gym', 'health')",,"[25.0881109, 121.52233290000001]",25.0881109,121.52233290000001,士林區承德路四段191號,義信里,士林區,臺北市,4.8,100.0,,
65,Happy Sport體能休閒空間,ChIJabJhPaWuQjQRmataOu9YXMw,"('gym', 'health')",+886 2 2882 7460 ,"[25.0901023, 121.5270008]",25.0901023,121.5270008,士林區文林路205號,仁勇里,士林區,臺北市,4.5,16.0,16.0,0.509
66,Fun Fitness 運動旅程士林館,ChIJBQFchFqvQjQR-OM_3-syl2A,"('gym', 'health')",+886 2 6617 3168 ,"[25.094023999999997, 121.527813]",25.094023999999997,121.527813,士林區中山北路五段519號,福林里,士林區,臺北市,4.7,617.0,617.0,0.6509999999999999
67,CURVES士林店,ChIJf1u-66KuQjQRoKErfcZvw2Y,"('gym', 'health')",+886 2 2834 1248 ,"[25.0971059, 121.52716459999999]",25.0971059,121.52716459999999,士林區中山北路五段687號2號樓之1,舊佳里,士林區,臺北市,4.8,93.0,93.0,0.721
68,Sodafit,ChIJ13AJ-qKuQjQR6L1FvYu3lL4,"('gym', 'health')",+886 2 2834 8234 ,"[25.0965755, 121.52802630000001]",25.0965755,121.52802630000001,士林區中山北路五段620號,福志里,士林區,臺北市,4.8,12.0,12.0,0.8170000000000001
69,自強全齡運動所,ChIJlfOsYUWuQjQR9v1RCBd4aQk,"('gym', 'health')",+886 958 356 047 ,"[25.0876387, 121.5258848]",25.0876387,121.5258848,士林區文林路83號一樓,仁勇里,士林區,臺北市,4.9,8.0,8.0,0.642
70,Curves可爾姿圓山花博店 | 女性30分鐘環狀運動,ChIJx5tbwUipQjQR1-BLCwqHchw,"('gym', 'health')",,"[25.070071600000002, 121.51871059999999]",25.070071600000002,121.51871059999999,大同區承德路三段229號,至聖里,大同區,臺北市,4.8,89.0,,
71,World Gym世界健身俱樂部 臺北大直店Sport,ChIJ1b9Jx2ysQjQRuBFQ2X8ff18,"('gym', 'parking', 'spa', 'health')",+886 2 8501 2333 ,"[25.0843794, 121.55968]",25.0843794,121.55968,中山區堤頂大道二段588號,金泰里,中山區,臺北市,4.7,1729.0,1729.0,0.53
72,拳能健身館｜ 私人健身拳擊工作室｜重訓｜拳擊｜肌筋膜放鬆,ChIJUbUzVP2tQjQReNCu20pilKQ,"('gym', 'health')",+886 960 399 999 ,"[25.08281999999999, 121.553826]",25.08281999999999,121.553826,中山區樂群三路77號2樓,成功里,中山區,臺北市,5.0,54.0,54.0,0.6779999999999999
73,正能量Fitness-內湖專業健身工作室｜NIKE簽約訓練師｜TRX｜NTC｜運動員式訓練｜預防運動傷害｜私人教練｜籃球體能專項訓練｜團體課｜運動包班｜銀髮族訓練,ChIJa6LWbG-sQjQRNmHxSdHztWo,"('gym', 'health')",+886 2 8797 2666 ,"[25.08160059999999, 121.5698584]",25.08160059999999,121.5698584,內湖區內湖路一段322號2F,西湖里,內湖區,臺北市,3.4,58.0,58.0,0.685
74,實踐大學體育館健身房,ChIJzYWBOhusQjQRBHB1NyOlIXs,"('gym', 'health')",+886 2 2538 1111#3828 ,"[25.08458730000001, 121.5446871]",25.08458730000001,121.5446871,中山區大直街70號,大直里,中山區,臺北市,3.8,40.0,40.0,0.456
75,夢啟動健身運動會館 DREAM FiT,ChIJBwRKWmysQjQRZ5jJc2vgtOs,"('gym', 'health')",+886 2 8751 8578 ,"[25.0831482, 121.56314099999999]",25.0831482,121.56314099999999,內湖區內湖路一段118號6樓,西康里,內湖區,臺北市,4.8,24.0,24.0,0.593
76,Pace Fitness\大直健身\肌力體能\空中瑜珈\皮拉提斯\TRX\瑜珈\舞蹈\Zumba\私人課程\包班,ChIJmWmZVw6sQjQRWVXu2sIvxD0,"('gym', 'health')",+886 2 2532 6881 ,"[25.079829, 121.5519094]",25.079829,121.5519094,中山區明水路575號B1,永安里,中山區,臺北市,5.0,69.0,69.0,0.7140000000000001
77,YOUTH Fitness&Yoga,ChIJGXhAkkStQjQRLqf7bKcMBbo,"('gym', 'health')",+886 2 8773 3833 ,"[25.079781, 121.5669659]",25.079781,121.5669659,內湖區瑞光路550號1樓,西湖里,內湖區,臺北市,4.9,47.0,48.0,0.68
78,好時光女生運動樂園 The GTFP Shaka (西湖),ChIJKeU6Rx-tQjQRRD3Pzs1oP-U,"('gym', 'health')",+886 2 2627 5361 ,"[25.0823916, 121.56793600000002]",25.0823916,121.56793600000002,內湖區內湖路一段321號2樓,西湖里,內湖區,臺北市,4.9,45.0,45.0,0.6659999999999999
79,北安休閒運動中心,ChIJ_7BrVgGsQjQRXXwK7w9tg9U,"('gym', 'health')",+886 2 2532 5733 ,"[25.0792, 121.54250729999998]",25.0792,121.54250729999998,中山區北安路400巷1弄12號,劍潭里,中山區,臺北市,4.1,125.0,125.0,0.39299999999999996
80,LIGHT WORKER 大直 私人運動招待所 I 業界首創超大獨立運動包廂 I 百坪空間僅限8人 I 內湖中山區推薦健身房 I 防疫首選,ChIJ5cJpkQ2sQjQRjdzoJQpdol0,"('gym', 'health')",+886 2 8501 5881 ,"[25.0805205, 121.55824170000001]",25.0805205,121.55824170000001,中山區樂群二路187號五樓之2,金泰里,中山區,臺北市,5.0,79.0,80.0,0.502
81,FIND TIME FITNESS CLUB 找時間動一動俱樂部,ChIJo4DPpw-sQjQRzAL1AXjsoyw,"('gym', 'health')",+886 2 2533 9979 ,"[25.080137899999997, 121.5504915]",25.080137899999997,121.5504915,中山區明水路581巷25號B1,永安里,中山區,臺北市,4.8,36.0,36.0,0.557
82,Curves內湖西湖店,ChIJk2nvWm-sQjQR58swldDd-cc,"('gym', 'health')",+886 2 2627 6550 ,"[25.0812351, 121.5710416]",25.0812351,121.5710416,內湖區內湖路一段360巷15號 7號樓之4,港墘里,內湖區,臺北市,4.7,73.0,73.0,0.713
83,潘若迪 Funky Dance,ChIJQ92rcm-sQjQRa5a7FtLBfIc,"('gym', 'health')",+886 966 512 008 ,"[25.0814047, 121.5698541]",25.0814047,121.5698541,內湖區內湖路一段324號2樓,西湖里,內湖區,臺北市,4.5,15.0,15.0,0.653
84,三健客 3musclers-內湖店,ChIJY7wvUmGsQjQRrJI5WnbA1rI,"('gym', 'health')",+886 2 8751 1915 ,"[25.082189, 121.577277]",25.082189,121.577277,內湖區港華街18號,港都里,內湖區,臺北市,4.8,51.0,51.0,0.682
85,妮飛內湖健身空間Nifei Fitness｜內湖健身房｜專業私人教練｜提供TRX健身團體課程｜功能性訓練｜內湖運動中心,ChIJGRznmnusQjQRea5kkbz9Ja0,"('gym', 'health')",+886 2 2627 1096 ,"[25.0734454, 121.5761446]",25.0734454,121.5761446,內湖區瑞湖街99號,港墘里,內湖區,臺北市,4.7,320.0,320.0,0.583
86,Let's Go 來運動健身俱樂部,ChIJJ7BzFo2sQjQRbsBASXDFuNE,"('gym', 'health')",+886 2 2794 5385 ,"[25.082272399999997, 121.5921937]",25.082272399999997,121.5921937,內湖區成功路四段50號2樓-1,紫星里,內湖區,臺北市,3.4,280.0,280.0,0.447
87,練一下GYMCUBE 成功店,ChIJObOfPoysQjQRFq6-m_6mDoY,"('gym', 'health')",+886 2 2790 6068 ,"[25.0796085, 121.5900385]",25.0796085,121.5900385,內湖區成功路三段145號B1,紫星里,內湖區,臺北市,4.6,163.0,163.0,0.34700000000000003
88,適放空間 運動 健身 放鬆 按摩,ChIJF5ryk5-tQjQRMSchHZpYZeU,"('gym', 'health')",,"[25.0791737, 121.58111640000001]",25.0791737,121.58111640000001,內湖區內湖路二段82號,港富里,內湖區,臺北市,5.0,14.0,14.0,0.72
89,麥克王運動訓練班MichaelWangFitnessTraining,ChIJH69vQGOsQjQRcdZZPKYYEKA,"('gym', 'health')",+886 2 2658 0170 ,"[25.077265, 121.578158]",25.077265,121.578158,內湖區江南街65巷6號1樓,港墘里,內湖區,臺北市,4.9,110.0,110.0,0.6779999999999999
90,JOYFIT24文德路｜內湖健身房｜專業私人教練｜24小時營業｜新手教學｜全球通用,ChIJ3zPzeWKsQjQRCG2OBiMECi8,"('gym', 'health')",+886 2 2627 0032 ,"[25.078278899999997, 121.582885]",25.078278899999997,121.582885,內湖區文德路100號,瑞陽里,內湖區,臺北市,4.8,146.0,146.0,0.52
91,H.F.P STUDIO,ChIJDWLRuPKsQjQRbcYSmwckHsc,"('gym', 'health')",,"[25.084118399999998, 121.5928297]",25.084118399999998,121.5928297,內湖區內湖路二段395號2樓,內湖里,內湖區,臺北市,5.0,37.0,37.0,0.478
92,練一下GYMCUBE 文德店,ChIJISCEQe2tQjQRYKFkJEoIYzM,"('gym', 'health')",+886 2 2799 6667 ,"[25.07818, 121.58315400000001]",25.07818,121.58315400000001,內湖區文德路108號B1,瑞陽里,內湖區,臺北市,4.8,75.0,75.0,0.43799999999999994
93,UFC GYM內科模範館,ChIJgQ70DGWsQjQR_I0jL7qFi_Q,"('gym', 'health')",+886 2 2799 6666 ,"[25.079304699999998, 121.57357179999998]",25.079304699999998,121.57357179999998,內湖區洲子街55號,港墘里,內湖區,臺北市,4.7,326.0,326.0,0.574
94,TRUE YOGA FITNESS/ 全真瑜珈健身內湖館,ChIJfxyrQ2SsQjQRhsSPlYll66U,"('spa', 'gym', 'health')",+886 2 7746 1111 ,"[25.0802995, 121.5753256]",25.0802995,121.5753256,內湖區內湖路一段659號B1,港都里,內湖區,臺北市,4.2,330.0,330.0,0.466
95,xarefit享健身 臺北內湖成功館,ChIJySaeiMCtQjQRqpCYsJQS8p0,"('gym', 'health')",,"[25.08328719999999, 121.59306940000002]",25.08328719999999,121.59306940000002,內湖區成功路四段168號B2,內湖里,內湖區,臺北市,4.3,217.0,217.0,0.32899999999999996
